NM	N	M	T ̌(NM)	T(NM)	T ̂(NM)
160000	 400	 400	10491	 16933	17865
240000	 400	 600	15879	 26192	26465
240000	 600	 400	15633	 25934	26582
320000	 400	 800	21017	 33893	34991
320000	 800	 400	20884	 34279	34835
360000	 600	 600	23852	 38291	38908
400000	 400	1000	26056	 42679	43260
400000	1000	 400	26469	 42455	43508
480000	 400	1200	31543	 50564	52162
480000	 600	 800	31311	 50972	51738
480000	 800	 600	31365	 50961	51796
480000	1200	 400	31501	 50579	52225
560000	 400	1400	37046	 59179	61174
560000	1400	 400	36735	 59031	60874
600000	 600	1000	39245	 65830	66691
600000	1000	 600	39953	 64530	66403
640000	 400	1600	42089	 67590	70392
640000	 800	 800	41904	 67733	68996
640000	1600	 400	42140	 67651	70052
720000	 400	1800	47204	 75935	79564
720000	 600	1200	47635	 76578	78323
720000	1200	 600	47171	 76658	78295
720000	1800	 400	47294	 75875	79371
800000	 400	2000	52823	 89010	89077
800000	 800	1000	52553	 85905	87018
800000	1000	 800	52650	 85944	87786
800000	2000	 400	52587	 85823	89002
840000	 600	1400	55699	 89114	91906
840000	1400	 600	55447	 89563	91707
960000	 600	1600	62958	102147	106470
960000	 800	1200	64387	103297	106111
960000	1200	 800	62837	103015	104612
960000	1600	 600	63242	102334	105845
1000000	1000	1000	65941	107304	109245
1080000	 600	1800	72392	116047	120722
1080000	1800	 600	72567	116633	122681
1120000	 800	1400	75552	121411	124127
1120000	1400	 800	74687	120868	124133
1200000	 600	2000	80059	130658	136075
1200000	1000	1200	79910	129633	132027
1200000	1200	1000	79878	129361	132171
1200000	2000	 600	80541	130734	136345
1280000	 800	1600	85418	138035	142800
1280000	1600	 800	85428	138696	143443
1400000	1000	1400	93162	150800	154965
1400000	1400	1000	93134	151245	154992
1440000	 800	1800	96133	154978	160589
1440000	1200	1200	96815	157680	158209
1440000	1800	 800	96909	155644	162672
1600000	 800	2000	106347	174141	181353
1600000	1000	1600	106480	172480	178181
1600000	1600	1000	107238	173038	179304
1600000	2000	 800	107104	175875	183418
1680000	1200	1400	111639	181562	186957
1680000	1400	1200	111548	181732	186609
1800000	1000	1800	119633	194222	201554
1800000	1800	1000	119873	194893	201532
1920000	1200	1600	127561	207535	213581
1920000	1600	1200	128792	207494	214284
1960000	1400	1400	130473	210879	215827
2000000	1000	2000	132549	218991	226003
2000000	2000	1000	132793	219726	226307
2160000	1200	1800	144281	234987	242253
2160000	1800	1200	144442	234660	243188
2240000	1400	1600	149432	242735	250738
2240000	1600	1400	150193	243392	251639
2400000	1200	2000	160332	264053	272452
2400000	2000	1200	160336	263587	273217
2520000	1400	1800	167879	274321	282905
2520000	1800	1400	168265	274016	283221
2560000	1600	1600	170962	278432	286429
2800000	1400	2000	187092	308978	321267
2800000	2000	1400	186636	309377	320868
2880000	1600	1800	191624	313270	322144
2880000	1800	1600	191762	311956	322379
3200000	1600	2000	214645	352538	363753
3200000	2000	1600	216129	353897	365685
3240000	1800	1800	217227	362302	365380
3600000	1800	2000	240867	397876	408562
3600000	2000	1800	240666	396512	410330
4000000	2000	2000	265963	441048	453645
